city,stationID,stationName,aliases,translations,stationCode,longerStationCode,altCodes,priority
"Fort Worth, TX",,Central Station,"Ft Worth,Ft. Worth,Worth",,FTW,,,0
"Fullerton, CA",,Fullerton,,,FUL,,,0
"Santa Clara, CA",,Great America,,,GAC,,,0
"Gastonia, NC",,Gastonia,,,GAS,,,0
"Galesburg, IL",,Galesburg,,,GBB,,,0
"Goldsboro, NC",,Goldsboro,,,GBO,,,0
"Garberville, CA",,Garberville,,,GBV,,,0
"Green Bay, WI",,Transportation Center,,,GBY,,,0
"Grand Canyon Village, AZ",,Maswik Lodge,,,GCB,,,0
"Garden City, KS",,Garden City,,,GCK,,,0
"Glendale, CA",,Glendale,,,GDL,,,0
"Spokane, WA",,Spokane Airport,,,GEG,,,0
"Greenfield, MA",,Greenfield,,,GFD,,,0
"Grand Forks, ND",,Grand Forks,,,GFK,,,0
"Glens Falls, NY",,Glens Falls,"Glenns Falls,Hudson Falls",,GFS,,,0
"Glasgow, MT",,Glasgow,,,GGW,,,0
"Gearhart - Northbound, OR",,Dollar General Store,,,GHN,,,0
"Gearhart - Southbound, OR",,Gearhart Bowl & Fultano's Pizza,,,GHT,,,0
"Gilchrist, OR",,Gilchrist,,,GIL,,,0
"Grand Junction, CO",,Grand Junction,,,GJT,,,0
"Gainesville, TX",,Gainesville,,,GLE,,,0
"Gilman, IL",,Gilman,,,GLM,,,0
"Glenview, IL",,Glenview,,,GLN,,,0
"Gallup, NM",,Gallup,,,GLP,,,0
"Gilroy, CA",,Gilroy,,,GLY,,,0
"Grimsby, ON",,Grimsby,,,GMS,,,0
"Greensburg, PA",,Amtrak Station,,,GNB,,,0
"Gainesville, FL",,Gainesville,,,GNF,,,0
"Greensburg, PA",,Westmoreland Transit Center,,,GNG,,,0
"Gainesville, GA",,Gainesville,,,GNS,,,0
"Florence, OR",,Grocery Outlet Florence,,,GOF,,,0
"Government Camp, OR",,Government Camp,,,GOV,,,0
"East Glacier Park, MT",,East Glacier Park,"glacier,browning",,GPK,,,0
"Granby, CO",,Granby,,,GRA,,,0
"Grand Ronde, OR",,Community Center,,,GRC,,,0
"Gresham, OR",,Gresham,,,GRH,,,0
"Green River, UT",,Green River,,,GRI,,,0
"Grand Ronde, OR",,Spirit Mountain Casino,Spirit Mountain Casino,,GRM,,,0
"Greenville, NC",,Greenville,"East Carolina University,Shaw University,Kinston",,GRN,,,0
"Greensboro, NC",,Greensboro,,,GRO,,,0
"Grand Rapids, MI",,Grand Rapids,,,GRR,,,0
"Greenville, SC",,Greenville,,,GRV,,,0
"Gary, IN",,Gary,,,GRY,,,0
"Glenwood Springs, CO",,Glenwood Springs,,,GSC,,,0
"Gasquet, CA",,Gasquet,,,GSQ,,,0
"Goleta, CA",,Goleta,,,GTA,,,0
"Grants Pass, OR",,Grants Pass,,,GTP,,,0
"Grantsville, MD",,Grantsville,,,GTV,,,0
"Guadalupe, CA",,Guadalupe,santa maria,,GUA,,,0
"Gulfport, MS",,Gulfport,,,GUF,,,0
"Guilford, CT",,Guilford,,,GUI,,,0
"Gunnison, CO",,Gunnison,,,GUN,,,0
"Grover Beach, CA",,Grover Beach,,,GVB,,,0
"Gouverneur, NY",,Gouverneur,,,GVR,,,0
"Greenwood, MS",,Greenwood,,,GWD,,,0
"Grayling, MI",,Grayling,,,GYG,,,0
"Gaylord, MI",,Gaylord,,,GYL,,,0
"Hagerstown, MD",,Hagerstown,,,HAG,,,0
"Hamlet, NC",,Hamlet,,,HAM,,,0
"Harrisburg, PA",,Harrisburg,,,HAR,,,0
"Hastings, NE",,Hastings,,,HAS,,,0
"Havre, MT",,Havre,,,HAV,,,0
"Hayward, CA",,Hayward,,,HAY,,,0
"Hazlehurst, MS",,Hazlehurst,,,HAZ,,,0
"Hattiesburg, MS",,Hattiesburg,,,HBG,,,0
"Healdsburg, CA",,Healdsburg,,,HEA,,,0
"Hermann, MO",,Hermann,,,HEM,,,0
"Helper, UT",,Helper,,,HER,,,0
"Hartford, CT",,Hartford,,,HFD,,,0
"Harpers Ferry, WV",,Harpers Ferry,,,HFY,,,0
"Huntingdon, PA",,Huntingdon,,,HGD,,,0
"Houghton, MI",,Michigan Tech University,,,HGH,,,0
"Houghton Lake, MI",,Houghton Lake,,,HGL,,,0
"Hogansburg, NY",,Hogansburg,,,HGS,,,0
"Haverhill, MA",,Haverhill,,,HHL,,,0
"Hinton, WV",,Hinton,,,HIN,,,0
"Hiouchi, CA",,Crescent City,Crescent City,,HIO,,,0
"Hancock, MI",,Hancock,,,HKM,,,0
"Hillsboro, OR",,Hillsboro,,,HLB,,,0
"Holdrege, NE",,Holdrege,,,HLD,,,0
"Holyoke, MA",,Holyoke,,,HLK,,,0
"Hammond, LA",,Hammond,,,HMD,,,0
"Hammond-Whiting, IN",,Hammond,Whiting,,HMI,,,0
"Homewood, IL",,Homewood,,,HMW,,,0
"Hanford, CA",,Hanford,,,HNF,,,0
"Hancock, MD",,Hancock,,,HNK,,,0
"Houston, TX",,Greyhound Terminal,,,HOG,,,0
"Hollywood, FL",,Hollywood,,,HOL,,,0
"Holland, MI",,Holland,,,HOM,,,0
"Hood River, OR",,Hood River,"Bingen-White Salmon,White Salmon",,HOO,,,0
"Hope, AR",,Hope,,,HOP,,,0
"Houston, TX",,Amtrak Station,,,HOS,,,0
"High Point, NC",,High Point,,,HPT,,,0
"Harper, OR",,Harper,,,HRP,,,0
"Arcata, CA",,Cal Poly Humboldt,Humboldt State University,,HSU,,,0
"Hammonton, NJ",,Hammonton,,,HTN,,,0
"Hudson, NY",,Hudson,,,HUD,,,0
"Huntington, WV",,Huntington,,,HUN,,,0
"Hutchinson, KS",,Hutchinson,,,HUT,,,0
"Havelock, NC",,Havelock,,,HVL,,,0
"Howard City, MI",,Howard City,,,HWC,,,0
"Indio, CA",,Indio,,,IDO,,,0
"Independence, MO",,Independence,,,IDP,,,0
"Indiana, PA",,Indiana University of Penn,,,INA,,,0
"Indianapolis, IN",,Indianapolis,,,IND,,,0
"Irvine, CA",,Irvine,,,IRV,,,0
"Jackson, MS",,Jackson,,,JAN,,,0
"Jacksonville, FL",,Jacksonville,,,JAX,,,0
"Jefferson City, MO",,Jefferson City,,,JEF,,,0
"Jacksonville, NC",,Jacksonville,Swansboro,,JNC,,,0
"June Lake, CA",,June Lake,,,JNL,,,0
"Johnson Creek, WI",,Johnson Creek,,,JOC,,,0
"Joliet, IL",,Joliet,,,JOL,,,0
"Jesup, GA",,Jesup,,,JSP,,,0
"Johnstown, PA",,Johnstown,,,JST,,,0
"Juntura, OR",,Juntura,,,JTR,,,0
"Janesville, WI",,Janesville,,,JVL,,,0
"Jackson, MI",,Jackson,,,JXN,,,0
"Kalamazoo, MI",,Kalamazoo,,,KAL,,,0
"Kannapolis, NC",,Kannapolis,,,KAN,,,0
"Kansas City, MO",,Union Station,Union Station,,KCY,,,0
"Kewanee, IL",,Kewanee,,,KEE,,,0
"Kelso-Longview, WA",,Kelso,Longview,,KEL,,,0
"Klamath Falls, OR",,Klamath Falls,,,KFS,,,0
"King City, CA",,King City,,,KGC,,,0
"Kingston - Eastbound, WA",,Washington State Ferry dock,,,KGE,,,0
"Kingsley, MI",,Kingsley,,,KGS,,,0
"Kingston - Westbound, WA",,Henery Hardware,,,KGW,,,0
"Killeen, TX",,Killeen,,,KIL,,,0
"Kingston, RI",,West Kingston,,,KIN,,,0
"Kissimmee, FL",,Kissimmee,,,KIS,,,0
"Kankakee, IL",,Kankakee,,,KKI,,,0
"Killington, VT",,Killington,,,KLT,,,0
"Kinston, NC",,Kinston,,,KNC,,,0
"Kingman, AZ",,Kingman,,,KNG,,,0
"Kinross Charter Twp, MI",,Kinross Charter Twp,,,KNS,,,0
"Kent Island-Grasonville, MD",,Grasonville,Grasonville,,KNT,,,0
"Kingstree, SC",,Kingstree,,,KTR,,,0
"Keene Valley, NY",,Keene Valley,,,KVL,,,0
"Kirkwood, MO",,Kirkwood,,,KWD,,,0
"Latrobe, PA",,Amtrak Station,,,LAB,,,0
"La Grande, OR",,La Grande,,,LAE,,,0
"Lafayette, IN",,Amtrak Station,,,LAF,,,0
"La Grange, IL",,La Grange,,,LAG,,,0
"La Junta, CO",,La Junta,,,LAJ,,,0
"Lakeland, FL",,To/from points north,,,LAK,,,0
"L'Anse, MI",,L'Anse,Lanse,,LAN,,,0
"La Plata, MO",,La Plata,,,LAP,,,0
"Las Vegas, NV",,McCarran International Airport,"McCarran International,McCarran Intl,McCarran Airport",,LAS,,,0
"Lafayette, IN",,CityBus Center,,,LAT,,,0
"Laurel, MS",,Laurel,,,LAU,,,0
"Los Angeles, CA",,Union Station,Union Station,,LAX,,,0
"Los Banos, CA",,Los Banos,,,LBO,,,0
"La Crescenta, CA",,La Crescenta,,,LCA,,,0
"Lake Charles, LA",,Lake Charles,,,LCH,,,0
"Lincoln, IL",,Lincoln,,,LCN,,,0
"Lincoln City, OR",,Lincoln City,,,LCO,,,0
"Las Cruces, NM",,Las Cruces,,,LCR,,,0
"Lancaster, CA",,Lancaster,,,LCS,,,0
"Lincolnville, ME",,Lincolnville,,,LCV,,,0
"Lordsburg, NM",,Lordsburg,,,LDB,,,0
"Lindenwold, NJ",,Somerdale,,,LDW,,,0
"Lee's Summit, MO",,Lee's Summit,,,LEE,,,0
"Leggett, CA",,Leggett,,,LEG,,,0
"Leavenworth, WA",,Wilkommen Park and Ride,,,LEV,,,0
"Lewistown, PA",,Amtrak Station,,,LEW,,,0
"Lexington Barbeque Festival, NC",,Lexington,,,LEX,,,0
"Lafayette, LA",,Lafayette,,,LFT,,,0
"Longueuil, QC",,Longueuil,,,LGU,,,0
"Libby, MT",,Libby,,,LIB,,,0
"Livermore, CA",,Livermore Transit Center,,,LIV,,,0
"Lakeland, FL",,To/from points south,,,LKL,,,0
"Lemoore, CA",,Lemoore,,,LMC,,,0
"Lamar, CO",,Lamar,,,LMR,,,0
"Lamy, NM",,Lamy,,,LMY,,,0
"Lancaster, PA",,Lancaster,,,LNC,,,0
"Lincoln, NE",,Lincoln,,,LNK,,,0
"East Lansing, MI",,East Lansing,Lansing,,LNS,,,0
"Laughlin, NV",,Laughlin,,,LNV,,,0
"London, ON",,London,,,LOB,,,0
"Lodi, CA",,Lodi,,,LOD,,,0
"Los Alamos, NM",,White Rock Area,,,LOH,,,0
"Lompoc, CA",,Lompoc,,,LOM,,,0
"Lorton, VA",,Auto Train Station,Washington,,LOR,,,0
"Los Alamos, NM",,Central Area,,,LOS,,,0
"Lapeer, MI",,Lapeer,,,LPE,,,0
"La Pine, OR",,La Pine,LaPine,,LPN,,,0
"Lompoc-Surf, CA",,Surf,Surf,,LPS,,,0
"La Quinta, CA",,La Quinta,,,LQT,,,0
"Lawrence, KS",,Lawrence,,,LRC,,,0
"Little Rock, AR",,Union Station,Union Station,,LRK,,,0
"Laramie, WY",,Laramie,,,LRY,,,0
"Lewisburg, PA",,Lewisburg,Bucknell University,,LSB,,,0
"La Crosse, WI",,Amtrak Station,,,LSE,,,0
